latitude,longitude,brightness,acq_date,confidence,frp
-37.24,146.583,327.1,2020-01-04,52,44.3
-37.436,148.471,351.4,2020-01-04,100,155.1
-34.356,150.044,315.1,2020-01-04,60,46.1
-37.46,148.478,386.2,2020-01-04,100,445.4
-37.451,148.521,311.4,2020-01-04,45,27
-37.456,148.5,367.1,2020-01-04,100,261.2
-37.117,149.583,362.3,2020-01-04,100,288.7
-37.154,149.54,358.1,2020-01-04,100,253.4
-37.128,149.532,340.2,2020-01-04,85,139.3
-37.099,149.604,328.7,2020-01-04,71,81.8
-37.199,149.585,323.9,2020-01-04,0,63.2
-37.104,149.579,344.6,2020-01-04,100,157
-37.168,149.6,349,2020-01-04,85,189.6
-37.452,148.454,309.5,2020-01-04,27,23.1
-37.448,148.475,334,2020-01-04,100,81.7
-37.443,149.381,324.7,2020-01-04,18,61.5
-36,147.857,354.3,2020-01-04,100,169.9
-35.987,147.856,327.7,2020-01-04,39,56.4
